TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-14 22:13:41.495,0.9182243,-0.08922369,0.24519777,1.0723513,0.81900847,-0.3484992,-0.25967905,0.6954653,0.6668453,0.31642386,0.3700781,0.5278576,0.63655967,1.1409771,0.6221842,0.5371381,0.55892813,0.8917931,0.23401567,0.6897961,710.3663,805.05493,819.9634,764.35895,733.73627,-0.19403076171875,-0.04022216796875,0.9454345703125,14.25079345703125,4.18701171875,6.2506103515625,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:42.004,0.8637638,-0.09144186,0.63520694,1.0723513,0.90022576,-0.31778753,-0.049518187,0.6954653,0.89165246,0.32241437,0.3700781,0.5278576,0.62094295,1.1718119,0.6465775,0.5371381,0.48290643,0.8004614,0.23892128,0.6897961,904.17584,796.1905,812.71063,778.46155,711.1722,-0.1656494140625,0.09307861328125,0.93133544921875,9.5404052734375,-11.67877197265625,21.593017578125,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:42.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:42.506,1.0640087,-0.042895567,0.90402955,1.0723513,1.1134791,-0.26292908,0.29511622,0.6954653,0.9711615,0.28166136,0.26520765,0.5278576,0.6057575,1.1888779,0.6150685,0.5371381,0.42872006,0.70314974,0.21171972,0.6897961,840.10986,829.2308,818.7546,824.7985,724.4689,0.06109619140625,-0.03948974609375,1.0001220703125,3.192596435546875,-17.383575439453125,15.80596923828125,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:43.024,1.2696601,-0.042895567,1.0243434,1.0723513,1.2010382,-0.26292908,0.403704,0.6954653,0.9655098,0.28166136,0.22545195,0.5278576,0.6497645,1.1888779,0.6521466,0.5371381,0.071195066,0.70314974,0.059934292,0.6897961,653.5531,786.52014,792.5641,784.10254,710.3663,0.33050537109375,-0.09454345703125,0.8990478515625,0.82244873046875,-12.60589599609375,4.613189697265625,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:43.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:43.525,1.429057,-0.042895567,0.83676445,1.0723513,1.3241969,-0.26292908,0.35683715,0.6954653,0.9655098,0.28166136,0.21605551,0.5278576,0.71031964,1.1888779,0.61278623,0.5371381,-0.0022847212,0.70314974,-0.019773943,0.6897961,578.20514,803.0403,787.326,720.0366,714.7985,-0.001708984375,0.007080078125,0.994873046875,9.099273681640625,9.510498046875,-9.97406005859375,1,1.0,1.0,1.0,1.0,100.00
2021-04-14 22:13:43.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:43.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-14 22:13:44.039,1.429057,-0.042895567,0.4891348,1.0723513,1.3241969,-0.26292908,0.1476582,0.6954653,0.9655098,0.28166136,0.14885537,0.5278576,0.71031964,1.1888779,0.6169029,0.5371381,-0.0022847212,0.70314974,-0.10864798,0.6897961,743.00366,809.89014,812.71063,775.2381,790.9524,0.14013671875,0.05865478515625,1.0101318359375,3.461761474609375,-7.6263427734375,19.8284912109375,1,1.0,1.0,1.0,1.0,100.00
